PC1,PC2
0.053575772085501905,-0.1412044944081648
-0.00029799601411691843,-0.03807396644025742
-0.031679007444485395,0.013913948129995765
-0.029246767137776748,-0.22263723103011748
-0.027475797191156913,-0.17187445915913988
-0.03180096978846721,-0.28112482891360757
0.0236433976387298,-0.2590602377310586
0.005638999779659915,-0.2811097414611033
-0.03658147955162467,-0.22240558149118136
0.45854006023832194,0.26439632356023063
0.5401398993619335,0.3451480033047839
0.135117609212935,0.05781651012408125
-0.023527526333704363,-0.02819849841986814
0.07653122754816341,0.00918976519124638
0.3286710196998399,0.1131081792697121
0.45187867766849993,0.16218903406860197
0.30323513297813254,0.10355619443275974
-0.00895935510557172,-0.016431032241771136
-0.0373667106623162,-0.01518400097353125
0.0073403359160239875,-0.009494800245538698
-0.018896958199407385,0.008548967172645933
0.0717188045818613,-0.058800893491041555
0.008899042522806593,-0.033261518593593144
0.008901576433586642,-0.13628680957858186
0.02703760886494219,-0.13225683145181938
0.02709664025448464,-0.06604569495877871
0.02871402019050677,-0.09050705854249075
-0.004833807977835417,-0.07676499977781179
-0.032501886079200466,0.006163212844726966
-0.028089790504215024,-0.023630896145989937
-0.013226485163531858,0.016544222622759244
-0.0272284212267631,-0.012226378428426265
0.16203852526363546,0.0738961713544963
0.05423742718023714,-0.01643380826034763
-0.0163195104388491,-0.048979657253121964
-0.025935108855079058,0.00748295851795183
0.09066132800204996,-0.174039840063232
0.1275471466620838,-0.22218815275017909
0.09309394998645491,-0.16710119387301445
0.07051854637275613,-0.16742278062248575
0.07472522642376345,-0.10610965912001345
-0.009186752889099363,-0.005445510636626663
0.08561080292787884,-0.1679975183731257
0.13221019870272727,-0.21428524561810716
-0.0023881434542987303,0.03222511515256591
0.10665515737373601,0.0750113208502686
0.4038147427879202,0.2549393523368998
-0.032553926361378605,-0.002914127272474613
0.018485655161188753,-0.048423239741071246
0.00516651536118099,0.007483580583758003
0.4176947253798789,0.30627093068998684
-0.03480025429322031,-0.038197383617435014
-0.043775945929874945,0.0006021061005266606
-0.03367190078410877,-0.057555022294706326
-0.028133061657706605,0.015261853647837963
0.043080299355028245,0.012373509439557876
0.0002391513126383276,0.0009808504436286162
0.015042015749369978,-0.02165123774922741
0.020975875590835066,-0.059491225639879595
-0.022096398863073696,0.001379969507505212
-0.008084917431581727,-0.026480182716459386
-0.021007977846736702,0.02604203642752991
0.014487448507472763,-0.008671054378196794
-0.034191163305081165,0.02546339913820893
